model_tag,dataset,method,n,em_pct,f1_pct,llm_judge_pct,judge_only,em_only,both_correct,both_wrong
q14,2wiki,cdsdj,500,82.6,75.45,81.6,11,16,397,76
q14,2wiki,cdsdnga,500,81.2,74.27,80.4,11,15,391,83
q14,2wiki,cdsds,500,82.2,76.82,81.4,12,16,395,77
q14,2wiki,consensus,500,78.4,74.79,78.6,13,12,380,95
q14,2wiki,cot,500,78.2,73.81,78.2,12,12,379,97
q14,2wiki,dmad,500,71.8,67.59,70.6,11,17,342,130
q14,2wiki,mad,500,76.6,73.33,77.0,13,11,372,104
q14,2wiki,sc,500,79.4,75.36,79.2,11,12,385,92
q14,hotpotqa,cdsdj,500,73.6,75.08,81.0,57,20,348,75
q14,hotpotqa,cdsdnga,500,71.2,73.45,80.6,62,15,341,82
q14,hotpotqa,cdsds,500,70.8,75.87,81.2,66,14,340,80
q14,hotpotqa,consensus,500,68.0,74.61,79.6,64,6,334,96
q14,hotpotqa,cot,500,66.6,72.34,76.4,62,13,320,105
q14,hotpotqa,dmad,500,64.4,68.87,72.6,56,15,307,122
q14,hotpotqa,mad,500,68.2,74.71,79.4,64,8,333,95
q14,hotpotqa,sc,500,71.4,76.14,80.2,57,13,344,86
q14,musique,cdsdj,500,60.8,59.63,57.2,16,34,270,180
q14,musique,cdsdnga,500,62.6,62.21,59.6,18,33,280,169
q14,musique,cdsds,500,59.8,61.22,57.8,16,26,273,185
q14,musique,consensus,500,58.4,59.62,57.4,22,27,265,186
q14,musique,cot,500,55.6,56.78,54.0,21,29,249,201
q14,musique,dmad,500,48.2,48.9,47.0,18,24,217,241
q14,musique,mad,500,56.8,58.03,55.0,20,29,255,196
q14,musique,sc,500,56.8,58.91,56.4,24,26,258,192
q14,strategyqa,cdsdj,500,93.6,93.6,93.6,0,0,468,32
q14,strategyqa,cdsdnga,500,93.4,93.4,93.4,0,0,467,33
q14,strategyqa,cdsds,500,93.6,93.6,93.6,0,0,468,32
q14,strategyqa,consensus,500,91.0,91.0,91.0,0,0,455,45
q14,strategyqa,cot,500,87.8,84.82,90.4,13,0,439,48
q14,strategyqa,dmad,500,62.6,62.09,62.6,0,0,313,187
q14,strategyqa,mad,500,89.6,89.6,89.6,0,0,448,52
q14,strategyqa,sc,500,91.8,91.44,91.8,0,0,459,41
q35_4b,2wiki,cdsdj,150,86.67,78.2,84.0,2,6,124,18
q35_4b,2wiki,cdsdnga,150,86.67,79.97,86.0,2,3,127,18
q35_4b,2wiki,consensus,150,83.33,75.99,82.0,2,4,121,23
q35_4b,2wiki,cot,150,82.67,74.08,80.67,2,5,119,24
q35_4b,2wiki,dmad,150,75.33,67.78,70.67,1,8,105,36
q35_4b,2wiki,mad,150,81.33,74.36,81.33,2,2,120,26
q35_4b,2wiki,sc,150,81.33,74.77,80.67,3,4,118,25
q35_4b,hotpotqa,cdsdj,150,79.33,80.46,82.67,11,6,113,20
q35_4b,hotpotqa,cdsdnga,150,79.33,80.52,83.33,11,5,114,20
q35_4b,hotpotqa,consensus,150,72.67,77.77,79.33,13,3,106,28
q35_4b,hotpotqa,cot,150,70.67,75.63,80.67,16,1,105,28
q35_4b,hotpotqa,dmad,150,64.67,64.94,68.67,13,7,90,40
q35_4b,hotpotqa,mad,150,72.67,77.34,79.33,15,5,104,26
q35_4b,hotpotqa,sc,150,69.33,75.12,76.0,13,3,101,33
q35_4b,musique,cdsdj,150,74.0,70.37,66.67,7,18,93,32
q35_4b,musique,cdsdnga,150,76.0,72.39,68.67,6,17,97,30
q35_4b,musique,consensus,150,65.33,62.38,62.0,4,9,89,48
q35_4b,musique,cot,150,57.33,53.35,58.0,7,6,80,57
q35_4b,musique,dmad,150,45.33,44.76,40.67,3,10,58,79
q35_4b,musique,mad,150,69.33,65.1,64.0,4,12,92,42
q35_4b,musique,sc,150,54.67,52.97,51.33,3,8,74,65
q35_4b,strategyqa,cdsdj,150,94.0,94.0,94.0,0,0,141,9
q35_4b,strategyqa,cdsdnga,150,94.67,94.67,94.67,0,0,142,8
q35_4b,strategyqa,consensus,150,89.33,87.51,90.0,1,0,134,15
q35_4b,strategyqa,cot,150,86.67,82.63,89.33,8,4,126,12
q35_4b,strategyqa,dmad,150,70.0,66.57,70.0,2,2,103,43
q35_4b,strategyqa,mad,150,76.67,75.65,83.33,10,0,115,25
q35_4b,strategyqa,sc,150,90.0,88.48,92.0,4,1,134,11
q35_9b,2wiki,cdsdj,150,84.0,76.34,82.0,2,5,121,22
q35_9b,2wiki,cdsdnga,150,84.67,76.76,82.67,2,5,122,21
q35_9b,2wiki,consensus,150,81.33,75.67,80.67,2,3,119,26
q35_9b,2wiki,cot,150,79.33,73.25,82.67,7,2,117,24
q35_9b,2wiki,dmad,150,74.67,68.0,74.0,1,2,110,37
q35_9b,2wiki,mad,150,82.67,76.39,82.67,2,2,122,24
q35_9b,2wiki,sc,150,81.33,75.99,80.67,1,2,120,27
q35_9b,hotpotqa,cdsdj,150,76.67,81.33,84.0,14,3,112,21
q35_9b,hotpotqa,cdsdnga,150,74.67,80.04,82.0,14,3,109,24
q35_9b,hotpotqa,consensus,150,74.0,79.87,80.67,14,4,107,25
q35_9b,hotpotqa,cot,150,74.0,74.69,81.33,15,4,107,24
q35_9b,hotpotqa,dmad,150,64.67,67.08,70.0,12,4,93,41
q35_9b,hotpotqa,mad,150,72.67,77.96,80.67,15,3,106,26
q35_9b,hotpotqa,sc,150,74.0,76.12,78.0,13,7,104,26
q35_9b,musique,cdsdj,150,68.67,69.08,64.67,5,11,92,42
q35_9b,musique,cdsdnga,150,71.33,70.36,64.67,5,15,92,38
q35_9b,musique,consensus,150,66.67,63.29,62.67,3,9,91,47
q35_9b,musique,cot,150,56.67,50.58,58.0,13,11,74,52
q35_9b,musique,dmad,150,46.67,44.21,40.67,1,10,60,79
q35_9b,musique,mad,150,66.67,62.79,61.33,4,12,88,46
q35_9b,musique,sc,150,60.0,55.44,57.33,5,9,81,55
q35_9b,strategyqa,cdsdj,150,92.67,92.67,92.67,0,0,139,11
q35_9b,strategyqa,cdsdnga,150,94.0,94.0,94.0,0,0,141,9
q35_9b,strategyqa,consensus,150,91.33,90.79,91.33,0,0,137,13
q35_9b,strategyqa,cot,150,90.67,90.67,92.0,2,0,136,12
q35_9b,strategyqa,dmad,150,68.67,57.55,64.0,0,7,96,47
q35_9b,strategyqa,mad,150,87.33,86.76,89.33,3,0,131,16
q35_9b,strategyqa,sc,150,89.33,89.33,92.67,5,0,134,11
q3_4b,2wiki,cdsdj,150,76.67,68.41,75.33,2,4,111,33
q3_4b,2wiki,cdsdnga,150,78.0,69.31,78.0,2,2,115,31
q3_4b,2wiki,consensus,150,76.0,70.57,76.0,3,3,111,33
q3_4b,2wiki,cot,150,74.67,69.49,74.67,3,3,109,35
q3_4b,2wiki,dmad,150,78.67,71.64,78.67,3,3,115,29
q3_4b,2wiki,mad,150,76.0,68.57,76.0,3,3,111,33
q3_4b,2wiki,sc,150,72.0,65.94,72.67,4,3,105,38
q3_4b,hotpotqa,cdsdj,150,68.0,72.68,72.0,10,4,98,38
q3_4b,hotpotqa,cdsdnga,150,71.33,74.58,74.67,8,3,104,35
q3_4b,hotpotqa,consensus,150,70.0,73.78,75.33,9,1,104,36
q3_4b,hotpotqa,cot,150,66.0,71.07,73.33,13,2,97,38
q3_4b,hotpotqa,dmad,150,68.67,74.01,74.67,12,3,100,35
q3_4b,hotpotqa,mad,150,66.0,66.05,70.67,8,1,98,43
q3_4b,hotpotqa,sc,150,68.67,74.3,74.67,11,2,101,36
q3_4b,musique,cdsdj,150,63.33,64.66,59.33,3,9,86,52
q3_4b,musique,cdsdnga,150,61.33,63.51,58.0,3,8,84,55
q3_4b,musique,consensus,150,60.67,61.62,56.0,2,9,82,57
q3_4b,musique,cot,150,54.67,56.85,52.0,3,7,75,65
q3_4b,musique,dmad,150,62.67,60.26,58.0,5,12,82,51
q3_4b,musique,mad,150,53.33,51.97,49.33,1,7,73,69
q3_4b,musique,sc,150,54.0,58.13,52.67,3,5,76,66
q3_4b,strategyqa,cdsdj,150,92.67,92.67,92.67,0,0,139,11
q3_4b,strategyqa,cdsdnga,150,92.0,92.0,92.0,0,0,138,12
q3_4b,strategyqa,consensus,150,86.0,86.0,86.0,0,0,129,21
q3_4b,strategyqa,cot,150,88.0,87.11,87.33,0,1,131,18
q3_4b,strategyqa,dmad,150,79.33,79.33,79.33,0,0,119,31
q3_4b,strategyqa,mad,150,86.67,86.17,86.67,0,0,130,20
q3_4b,strategyqa,sc,150,85.33,85.33,85.33,0,0,128,22
q3_8b,2wiki,cdsdj,150,81.33,74.62,80.0,3,5,117,25
q3_8b,2wiki,cdsdnga,150,80.67,75.19,80.67,3,3,118,26
q3_8b,2wiki,consensus,150,78.0,75.4,79.33,4,2,115,29
q3_8b,2wiki,cot,150,78.67,74.3,78.0,3,4,114,29
q3_8b,2wiki,dmad,150,79.33,73.46,80.0,3,2,117,28
q3_8b,2wiki,mad,150,80.0,76.37,80.67,4,3,117,26
q3_8b,2wiki,sc,150,81.33,76.41,82.0,4,3,119,24
q3_8b,hotpotqa,cdsdj,150,74.67,78.04,80.0,11,3,109,27
q3_8b,hotpotqa,cdsdnga,150,76.0,79.35,80.67,11,4,110,25
q3_8b,hotpotqa,consensus,150,71.33,77.69,77.33,11,2,105,32
q3_8b,hotpotqa,cot,150,72.0,77.05,77.33,11,3,105,31
q3_8b,hotpotqa,dmad,150,69.33,73.9,74.67,13,5,99,33
q3_8b,hotpotqa,mad,150,72.67,78.53,78.0,10,2,107,31
q3_8b,hotpotqa,sc,150,70.67,76.28,76.0,12,4,102,32
q3_8b,musique,cdsdj,150,69.33,66.74,65.33,3,9,95,43
q3_8b,musique,cdsdnga,150,66.0,64.42,62.0,3,9,90,48
q3_8b,musique,consensus,150,64.0,66.89,62.67,3,5,91,51
q3_8b,musique,cot,150,61.33,63.72,58.67,4,8,84,54
q3_8b,musique,dmad,150,56.67,59.66,54.67,4,7,78,61
q3_8b,musique,mad,150,62.67,64.33,60.67,2,5,89,54
q3_8b,musique,sc,150,56.0,58.85,53.33,3,7,77,63
q3_8b,strategyqa,cdsdj,150,90.67,90.67,90.67,0,0,136,14
q3_8b,strategyqa,cdsdnga,150,92.0,92.0,92.0,0,0,138,12
q3_8b,strategyqa,consensus,150,88.0,88.0,88.0,0,0,132,18
q3_8b,strategyqa,cot,150,92.67,92.44,92.67,0,0,139,11
q3_8b,strategyqa,dmad,150,70.67,70.67,70.67,0,0,106,44
q3_8b,strategyqa,mad,150,87.33,87.33,87.33,0,0,131,19
q3_8b,strategyqa,sc,150,90.0,89.33,89.33,0,1,134,15
q7,2wiki,cdsdnga,500,76.0,70.07,76.0,12,12,368,108
q7,2wiki,consensus,500,72.8,71.25,73.0,12,11,353,124
q7,2wiki,cot,500,66.4,65.94,67.0,12,9,323,156
q7,2wiki,dmad,500,62.6,62.11,62.0,10,13,300,177
q7,2wiki,mad,500,72.4,71.1,72.6,13,12,350,125
q7,2wiki,sc,500,68.8,67.55,69.2,15,13,331,141
q7,hotpotqa,cdsdnga,500,67.2,69.7,75.6,59,17,319,105
q7,hotpotqa,consensus,500,62.6,72.2,72.2,58,10,303,129
q7,hotpotqa,cot,500,59.2,68.96,72.8,74,6,290,130
q7,hotpotqa,dmad,500,55.0,63.29,63.8,50,6,269,175
q7,hotpotqa,mad,500,63.0,72.55,73.8,60,6,309,125
q7,hotpotqa,sc,500,62.6,72.75,73.4,58,4,309,129
q7,musique,cdsdnga,500,55.0,54.83,52.2,17,31,244,208
q7,musique,consensus,500,47.8,52.1,46.6,13,19,220,248
q7,musique,cot,500,45.4,50.07,45.6,21,20,207,252
q7,musique,dmad,500,34.2,37.64,32.8,13,20,151,316
q7,musique,mad,500,47.0,51.45,46.2,15,19,216,250
q7,musique,sc,500,46.2,50.56,45.4,17,21,210,252
q7,strategyqa,cdsdnga,500,94.0,93.83,93.8,0,1,469,30
q7,strategyqa,consensus,500,88.8,88.8,88.8,0,0,444,56
q7,strategyqa,cot,500,89.6,89.06,92.0,13,1,447,39
q7,strategyqa,dmad,500,64.0,64.0,64.4,2,0,320,178
q7,strategyqa,mad,500,85.6,85.4,86.0,2,0,428,70
q7,strategyqa,sc,500,90.8,90.8,90.8,0,0,454,46
